"activity" "subjects" "variable" "value"
"LAYING" 10 "tBodyAcc-mean()-X" 0.276167166146067
"LAYING" 12 "tBodyAcc-mean()-X" 0.27360872421875
"LAYING" 13 "tBodyAcc-mean()-X" 0.275331302564103
"LAYING" 15 "tBodyAcc-mean()-X" 0.276774140473934
"LAYING" 16 "tBodyAcc-mean()-X" 0.277887440374317
"LAYING" 17 "tBodyAcc-mean()-X" 0.274029548065217
"LAYING" 19 "tBodyAcc-mean()-X" 0.269723487105556
"LAYING" 21 "tBodyAcc-mean()-X" 0.274851546313725
"SITTING" 4 "tBodyAcc-mean()-X" 0.272539814977012
"SITTING" 7 "tBodyAcc-mean()-X" 0.26975303484739
"SITTING" 8 "tBodyAcc-mean()-X" 0.270759063295374
"SITTING" 9 "tBodyAcc-mean()-X" 0.270313841621528
"SITTING" 10 "tBodyAcc-mean()-X" 0.277893928965517
"SITTING" 11 "tBodyAcc-mean()-X" 0.27658531139557
"SITTING" 14 "tBodyAcc-mean()-X" 0.270184596009288
"SITTING" 15 "tBodyAcc-mean()-X" 0.280809008017094
"STANDING" 1 "tBodyAcc-mean()-X" 0.265696920582133
"STANDING" 2 "tBodyAcc-mean()-X" 0.273113115788079
"STANDING" 3 "tBodyAcc-mean()-X" 0.273428719636364
"STANDING" 4 "tBodyAcc-mean()-X" 0.274804706269565
"STANDING" 5 "tBodyAcc-mean()-X" 0.279177960301325
"STANDING" 6 "tBodyAcc-mean()-X" 0.272376614181538
"STANDING" 7 "tBodyAcc-mean()-X" 0.272147411016949
"WALKING" 13 "tBodyAcc-mean()-X" 0.275972328878472
"WALKING" 18 "tBodyAcc-mean()-X" 0.277532463990385
"WALKING" 21 "tBodyAcc-mean()-X" 0.27833818525817
"WALKING" 22 "tBodyAcc-mean()-X" 0.274767690046106
"WALKING" 23 "tBodyAcc-mean()-X" 0.273493254730108
"WALKING" 25 "tBodyAcc-mean()-X" 0.278461687929515
"WALKING_DOWNSTAIRS" 18 "tBodyAcc-mean()-X" 0.274713069679487
"WALKING_DOWNSTAIRS" 20 "tBodyAcc-mean()-X" 0.26629102619697
"WALKING_DOWNSTAIRS" 25 "tBodyAcc-mean()-X" 0.271359874498901
"WALKING_DOWNSTAIRS" 26 "tBodyAcc-mean()-X" 0.2730365808625
"WALKING_DOWNSTAIRS" 27 "tBodyAcc-mean()-X" 0.277264567074468
"WALKING_DOWNSTAIRS" 28 "tBodyAcc-mean()-X" 0.278703353055556
"WALKING_UPSTAIRS" 20 "tBodyAcc-mean()-X" 0.274687637666667
"WALKING_UPSTAIRS" 24 "tBodyAcc-mean()-X" 0.276767046391076
"WALKING_UPSTAIRS" 28 "tBodyAcc-mean()-X" 0.277410737601156
"WALKING_UPSTAIRS" 29 "tBodyAcc-mean()-X" 0.279111521944767
"WALKING_UPSTAIRS" 30 "tBodyAcc-mean()-X" 0.276305836721932
"LAYING" 10 "tBodyAcc-mean()-Y" -0.0163597620096067
"LAYING" 12 "tBodyAcc-mean()-Y" -0.018337204411489
"LAYING" 13 "tBodyAcc-mean()-Y" -0.0138142117769231
"LAYING" 15 "tBodyAcc-mean()-Y" -0.0182430061199526
"LAYING" 16 "tBodyAcc-mean()-Y" -0.0158567888309016
"LAYING" 17 "tBodyAcc-mean()-Y" -0.0175416045074728
"LAYING" 19 "tBodyAcc-mean()-Y" -0.0182031515710306
"LAYING" 21 "tBodyAcc-mean()-Y" -0.0156857030189216
"SITTING" 4 "tBodyAcc-mean()-Y" -0.0196269625326897
"SITTING" 7 "tBodyAcc-mean()-Y" -0.0197172891035341
"SITTING" 8 "tBodyAcc-mean()-Y" -0.0181894974688612
"SITTING" 9 "tBodyAcc-mean()-Y" -0.0209466555412396
"SITTING" 10 "tBodyAcc-mean()-Y" -0.0201007309025862
